['0', '96', '192', '288', '384', '480', '576', '672', '768', '864']
['1', '97', '193', '289', '385', '481', '577', '673', '769', '865']
['2', '98', '194', '290', '386', '482', '578', '674', '770', '866']
['3', '99', '195', '291', '387', '483', '579', '675', '771', '867']
['4', '100', '196', '292', '388', '484', '580', '676', '772', '868']
['5', '101', '197', '293', '389', '485', '581', '677', '773', '869']
['6', '102', '198', '294', '390', '486', '582', '678', '774', '870']
['7', '103', '199', '295', '391', '487', '583', '679', '775', '871']
['8', '104', '200', '296', '392', '488', '584', '680', '776', '872']
['9', '105', '201', '297', '393', '489', '585', '681', '777', '873']
['10', '106', '202', '298', '394', '490', '586', '682', '778', '874']
['11', '107', '203', '299', '395', '491', '587', '683', '779', '875']
['12', '108', '204', '300', '396', '492', '588', '684', '780', '876']
['13', '109', '205', '301', '397', '493', '589', '685', '781', '877']
['14', '110', '206', '302', '398', '494', '590', '686', '782', '878']
['15', '111', '207', '303', '399', '495', '591', '687', '783', '879']
['16', '112', '208', '304', '400', '496', '592', '688', '784', '880']
['17', '113', '209', '305', '401', '497', '593', '689', '785', '881']
['18', '114', '210', '306', '402', '498', '594', '690', '786', '882']
['19', '115', '211', '307', '403', '499', '595', '691', '787', '883']
['20', '116', '212', '308', '404', '500', '596', '692', '788', '884']
['21', '117', '213', '309', '405', '501', '597', '693', '789', '885']
['22', '118', '214', '310', '406', '502', '598', '694', '790', '886']
['23', '119', '215', '311', '407', '503', '599', '695', '791', '887']
['24', '120', '216', '312', '408', '504', '600', '696', '792', '888']
['25', '121', '217', '313', '409', '505', '601', '697', '793', '889']
['26', '122', '218', '314', '410', '506', '602', '698', '794', '890']
['27', '123', '219', '315', '411', '507', '603', '699', '795', '891']
['28', '124', '220', '316', '412', '508', '604', '700', '796', '892']
['29', '125', '221', '317', '413', '509', '605', '701', '797', '893']
['30', '126', '222', '318', '414', '510', '606', '702', '798', '894']
['31', '127', '223', '319', '415', '511', '607', '703', '799', '895']
['32', '128', '224', '320', '416', '512', '608', '704', '800', '896']
['33', '129', '225', '321', '417', '513', '609', '705', '801', '897']
['34', '130', '226', '322', '418', '514', '610', '706', '802', '898']
['35', '131', '227', '323', '419', '515', '611', '707', '803', '899']
['36', '132', '228', '324', '420', '516', '612', '708', '804', '900']
['37', '133', '229', '325', '421', '517', '613', '709', '805', '901']
['38', '134', '230', '326', '422', '518', '614', '710', '806', '902']
['39', '135', '231', '327', '423', '519', '615', '711', '807', '903']
['40', '136', '232', '328', '424', '520', '616', '712', '808', '904']
['41', '137', '233', '329', '425', '521', '617', '713', '809', '905']
['42', '138', '234', '330', '426', '522', '618', '714', '810', '906']
['43', '139', '235', '331', '427', '523', '619', '715', '811', '907']
['44', '140', '236', '332', '428', '524', '620', '716', '812', '908']
['45', '141', '237', '333', '429', '525', '621', '717', '813', '909']
['46', '142', '238', '334', '430', '526', '622', '718', '814', '910']
['47', '143', '239', '335', '431', '527', '623', '719', '815', '911']
['48', '144', '240', '336', '432', '528', '624', '720', '816', '912']
['49', '145', '241', '337', '433', '529', '625', '721', '817', '913']
['50', '146', '242', '338', '434', '530', '626', '722', '818', '914']
['51', '147', '243', '339', '435', '531', '627', '723', '819', '915']
['52', '148', '244', '340', '436', '532', '628', '724', '820', '916']
['53', '149', '245', '341', '437', '533', '629', '725', '821', '917']
['54', '150', '246', '342', '438', '534', '630', '726', '822', '918']
['55', '151', '247', '343', '439', '535', '631', '727', '823', '919']
['56', '152', '248', '344', '440', '536', '632', '728', '824', '920']
['57', '153', '249', '345', '441', '537', '633', '729', '825', '921']
['58', '154', '250', '346', '442', '538', '634', '730', '826', '922']
['59', '155', '251', '347', '443', '539', '635', '731', '827', '923']
['60', '156', '252', '348', '444', '540', '636', '732', '828', '924']
['61', '157', '253', '349', '445', '541', '637', '733', '829', '925']
['62', '158', '254', '350', '446', '542', '638', '734', '830', '926']
['63', '159', '255', '351', '447', '543', '639', '735', '831', '927']
['64', '160', '256', '352', '448', '544', '640', '736', '832', '928']
['65', '161', '257', '353', '449', '545', '641', '737', '833', '929']
['66', '162', '258', '354', '450', '546', '642', '738', '834', '930']
['67', '163', '259', '355', '451', '547', '643', '739', '835', '931']
['68', '164', '260', '356', '452', '548', '644', '740', '836', '932']
['69', '165', '261', '357', '453', '549', '645', '741', '837', '933']
['70', '166', '262', '358', '454', '550', '646', '742', '838', '934']
['71', '167', '263', '359', '455', '551', '647', '743', '839', '935']
['72', '168', '264', '360', '456', '552', '648', '744', '840', '936']
['73', '169', '265', '361', '457', '553', '649', '745', '841', '937']
['74', '170', '266', '362', '458', '554', '650', '746', '842', '938']
['75', '171', '267', '363', '459', '555', '651', '747', '843', '939']
['76', '172', '268', '364', '460', '556', '652', '748', '844', '940']
['77', '173', '269', '365', '461', '557', '653', '749', '845', '941']
['78', '174', '270', '366', '462', '558', '654', '750', '846', '942']
['79', '175', '271', '367', '463', '559', '655', '751', '847', '943']
['80', '176', '272', '368', '464', '560', '656', '752', '848', '944']
['81', '177', '273', '369', '465', '561', '657', '753', '849', '945']
['82', '178', '274', '370', '466', '562', '658', '754', '850', '946']
['83', '179', '275', '371', '467', '563', '659', '755', '851', '947']
['84', '180', '276', '372', '468', '564', '660', '756', '852', '948']
['85', '181', '277', '373', '469', '565', '661', '757', '853', '949']
['86', '182', '278', '374', '470', '566', '662', '758', '854', '950']
['87', '183', '279', '375', '471', '567', '663', '759', '855', '951']
['88', '184', '280', '376', '472', '568', '664', '760', '856', '952']
['89', '185', '281', '377', '473', '569', '665', '761', '857', '953']
['90', '186', '282', '378', '474', '570', '666', '762', '858', '954']
['91', '187', '283', '379', '475', '571', '667', '763', '859', '955']
