['210', '482', '118', '663', '368', '39', '211', '560', '57', '597']
['332', '125', '741', '540', '30', '618', '721', '769', '276', '473']
['509', '589', '795', '14', '656', '516', '764', '585', '416', '496']
['439', '403', '375', '215', '247', '459', '3', '205', '275', '504']
['184', '371', '469', '295', '735', '669', '489', '228', '267', '297']
['572', '199', '32', '418', '383', '773', '378', '318', '77', '73']
['499', '8', '566', '787', '758', '26', '610', '329', '503', '452']
['227', '780', '149', '358', '187', '81', '33', '372', '781', '744']
['647', '442', '110', '249', '424', '256', '381', '390', '701', '595']
['41', '635', '557', '76', '337', '238', '393', '45', '654', '405']
['139', '279', '753', '377', '789', '122', '675', '220', '695', '321']
['100', '697', '679', '636', '658', '726', '155', '379', '259', '71']
['151', '533', '132', '778', '64', '720', '653', '266', '752', '705']
['175', '668', '301', '634', '158', '296', '483', '274', '376', '479']
['306', '784', '6', '66', '109', '170', '230', '799', '260', '242']
['236', '270', '594', '340', '684', '476', '767', '573', '546', '501']
['562', '671', '114', '89', '437', '782', '289', '67', '263', '272']
['74', '639', '748', '537', '740', '563', '244', '688', '704', '43']
['290', '160', '477', '570', '702', '82', '1', '711', '310', '47']
['719', '131', '167', '662', '760', '380', '108', '206', '612', '419']
['659', '454', '620', '743', '423', '281', '103', '304', '465', '536']
['98', '312', '588', '559', '759', '174', '505', '687', '404', '484']
['333', '790', '97', '221', '638', '438', '165', '577', '791', '208']
['626', '713', '587', '498', '162', '54', '525', '186', '34', '7']
['232', '661', '432', '327', '745', '123', '478', '117', '568', '246']
['223', '544', '728', '180', '584', '367', '456', '113', '528', '690']
['35', '657', '189', '763', '468', '21', '138', '552', '11', '436']
['350', '742', '384', '601', '448', '417', '92', '693', '441', '31']
['770', '55', '581', '774', '670', '373', '197', '707', '127', '24']
['359', '542', '703', '354', '722', '121', '430', '593', '649', '15']
['298', '694', '159', '352', '311', '307', '86', '580', '176', '195']
['188', '37', '792', '126', '303', '141', '794', '706', '5', '426']
['44', '294', '72', '751', '756', '506', '172', '69', '485', '567']
['150', '793', '519', '591', '51', '422', '282', '605', '491', '331']
['714', '515', '194', '213', '480', '286', '48', '50', '549', '608']
['385', '798', '154', '116', '776', '672', '357', '523', '543', '402']
['637', '642', '500', '407', '435', '22', '571', '326', '526', '335']
['464', '607', '450', '680', '531', '576', '140', '520', '457', '762']
['408', '428', '777', '29', '738', '783', '715', '646', '648', '734']
['397', '507', '712', '475', '583', '398', '396', '708', '40', '497']
['665', '632', '395', '320', '16', '727', '101', '602', '400', '229']
['394', '351', '413', '18', '467', '538', '243', '660', '730', '254']
['399', '52', '650', '575', '747', '564', '237', '698', '204', '49']
['63', '87', '434', '487', '667', '248', '486', '678', '768', '732']
['514', '700', '148', '314', '277', '603', '287', '9', '709', '739']
['547', '590', '366', '191', '96', '349', '193', '75', '177', '445']
['345', '723', '299', '472', '673', '622', '111', '85', '255', '315']
['129', '406', '455', '136', '78', '88', '623', '364', '755', '20']
['677', '421', '785', '640', '361', '733', '280', '716', '550', '171']
['60', '627', '474', '264', '664', '666', '235', '323', '641', '561']
['724', '284', '161', '115', '362', '718', '68', '137', '617', '461']
['316', '271', '245', '779', '214', '344', '788', '766', '592', '427']
['107', '586', '0', '12', '134', '692', '410', '750', '231', '524']
['94', '374', '224', '80', '775', '382', '83', '409', '554', '251']
['257', '308', '512', '200', '62', '616', '258', '625', '510', '363']
['699', '346', '152', '203', '336', '58', '300', '574', '481', '517']
['356', '451', '233', '46', '633', '578', '606', '36', '99', '624']
['217', '133', '458', '761', '541', '269', '412', '466', '611', '106']
['360', '598', '241', '429', '79', '288', '556', '261', '522', '70']
['676', '91', '685', '218', '207', '621', '449', '370', '268', '490']
['234', '250', '643', '736', '196', '411', '202', '173', '431', '696']
['674', '717', '178', '651', '23', '179', '749', '222', '273', '369']
['569', '153', '130', '582', '532', '61', '786', '93', '551', '145']
['302', '614', '169', '112', '28', '757', '53', '529', '182', '655']
['596', '309', '285', '534', '613', '495', '631', '502', '492', '415']
['198', '147', '488', '493', '102', '553', '2', '797', '746', '240']
['629', '65', '90', '453', '209', '652', '513', '725', '348', '615']
['689', '511', '305', '772', '765', '219', '181', '683', '535', '737']
['119', '527', '518', '463', '135', '190', '391', '105', '644', '729']
['120', '443', '471', '278', '4', '38', '322', '239', '104', '27']
['600', '324', '192', '253', '13', '283', '386', '388', '521', '166']
['168', '444', '313', '447', '291', '226', '338', '42', '157', '293']
['124', '365', '440', '353', '17', '342', '84', '599', '328', '558']
['754', '330', '19', '387', '325', '339', '252', '796', '317', '341']
['565', '164', '682', '691', '446', '645', '355', '56', '686', '146']
['185', '265', '681', '710', '548', '183', '212', '425', '420', '539']
['619', '143', '392', '771', '462', '630', '604', '347', '262', '609']
['201', '10', '401', '579', '343', '470', '731', '508', '530', '216']
['144', '95', '59', '555', '25', '414', '389', '292', '225', '494']
['460', '319', '545', '628', '156', '163', '128', '142', '433', '334']
